name;1순위 추천;2순위 추천;3순위 추천;4순위 추천;5순위 추천
AI가 세상을 지배한다면;'기기괴괴'; '레사 시즌2~3'; 'POGO 공포단편선 - 혼집';;
불순물;'거래'; '타인은 지옥이다'; '대작';;
강남도깨비;'갓 오브 하이스쿨'; '언데드'; '데드라이프'; '[드라마원작] 스위트홈';
학교정벌;'열렙전사'; '사이드킥 2~3'; '신을 죽이는 방법';;
짝사랑의 유서;'유리와 유리와 유리'; '사랑과 평강의 온달!'; '동생친구'; '좋은데 어떡해'; '좋아하는 부분'
평행도시;'언데드'; '데드라이프';;;
취향 소개소;'인어를 위한 수영교실'; '소심한 팔레트'; '머리카락을 뽑으면'; '오늘도 핸드메이드!';
거래하실래요?;'결혼까지 망상했어!'; '힙한남자'; '라일락 200%'; '각자의 디데이'; '참새는 새!신부'
결혼까지 망상했어!;'연놈'; '청춘 블라썸'; '각자의 디데이'; '인어를 위한 수영교실';
잉여특공대;'연애혁명';;;;
다시 또 봄;'웰캄투실버라이프'; '저세상 클라스!'; '같은도장'; '참치와 돌고래';
굿 리스너;'진눈깨비 소년'; '길에서 만나다';;;
가짜인간;'아도나이'; '기억흔적'; '킬링타임';;
조선여우스캔들;'팔려 온 신부'; '자취방 신선들'; '금혼령-조선혼인금지령';;
소녀 해미;'더 복서'; '1초'; '이제 곧 죽습니다'; '돼지우리'; '악취'
위험한 신입사원;'첫사랑입니다만'; '대표님이 구독하셨습니다'; '두근두근 마감 중'; '우리 오빠는 아이돌';
오늘 밤만 재워줘;'속보입니다'; '원하는 건 너 하나'; '후아유!'; '손 잡아 볼래?';
호수의 인어;'인어를 위한 수영교실'; '옆반의 인어'; '연의 편지';;
제타;'AI가 세상을 지배한다면';;;;
푸른불꽃;'급식아빠'; '악인'; '참교육'; '왕따협상';
호시탐탐;'오늘도 사랑스럽개'; '바로잡는 순애보';;;
합격시켜주세용;'무주의 맹시'; '용이산다'; '슈퍼 시크릿';;
